,tinh,project,link,kind,location,price
0,tai-thai-binh,The Light Square: Tổ hợp nhà phố tại Thái Bình,https://cafeland.vn/du-an/the-light-square-to-hop-nha-pho-tai-thai-binh-4315.html,Khu Đô Thị,"Địa chỉ: TP. Thái Bình, Thái Bình",Địa chỉ:
1,tai-thai-binh,Green Park Đông Hưng: Dự án đất nền tại Thái Bình,https://cafeland.vn/du-an/green-park-dong-hung-du-an-dat-nen-tai-thai-binh-4103.html,Đất Nền Dự Án,"Địa chỉ: thôn Thượng Đạt, Đông Hưng, Thái Bình",Giá thấp nhất: 903 triệu
2,tai-thai-binh,Tiền Hải Star City: Dự án Khu dân cư tại tỉnh Thái Bình,https://cafeland.vn/du-an/tien-hai-star-city-du-an-khu-dan-cu-tai-tinh-thai-binh-3573.html,Khu Đô Thị,"Địa chỉ: Xã Tây Sơn, thị trấn Tiền Hải, Tiền Hải, Thái Bình","Giá thấp nhất: 1,44 tỷ"
3,tai-thai-binh,Khu đô thị Venus Center City Thái Bình,https://cafeland.vn/du-an/khu-do-thi-venus-center-city-thai-binh-3366.html,Khu Đô Thị,"Địa chỉ: đường Lý Thường Kiệt, TP. Thái Bình, Thái Bình","Giá thấp nhất: 2,26 tỷ"
4,tai-thai-binh,Dự án Era Central City Thái Bình,https://cafeland.vn/du-an/du-an-era-central-city-thai-binh-3273.html,Khu Đô Thị,"Địa chỉ: Quốc lộ 39A, Thái Thụy, Thái Bình","Giá thấp nhất: 1,89 tỷ"
5,tai-thai-binh,Dự án Thái Bình Dragon City,https://cafeland.vn/du-an/du-an-thai-binh-dragon-city-3198.html,Khu Đô Thị,"Địa chỉ: Đại lộ Kỳ Đồng kéo dài, TP. Thái Bình, Thái Bình","Giá thấp nhất: 1,26 tỷ"
6,tai-thai-binh,Chung cư DragonEco Apartment – DragonHomes Eco City Thái Bình,https://cafeland.vn/du-an/chung-cu-dragoneco-apartment-dragonhomes-eco-city-thai-binh-3144.html,Căn hộ chung cư,"Địa chỉ: DragonHomes Eco City, TP. Thái Bình, Thái Bình",Địa chỉ:
7,tai-thai-binh,"Tổ hợp căn hộ thương mại, shophouse Eden Garden Thái Bình",https://cafeland.vn/du-an/to-hop-can-ho-thuong-mai-shophouse-eden-garden-thai-binh-3121.html,Khu Đô Thị,"Địa chỉ: phố Lê Lợi, TP. Thái Bình, Thái Bình",Địa chỉ:
8,tai-thai-binh,Khu đô thị Tiền Hải Center City Thái Bình,https://cafeland.vn/du-an/khu-do-thi-tien-hai-center-city-thai-binh-2996.html,Khu Đô Thị,"Địa chỉ: Khu công nghiệp Tiền Hải, Tiền Hải, Thái Bình","Giá thấp nhất: 2,16 tỷ"
9,tai-thai-binh,Khu dân cư TNR Grand Palace Thái Bình,https://cafeland.vn/du-an/khu-dan-cu-tnr-grand-palace-thai-binh-2709.html,Khu Đô Thị,"Địa chỉ: Đường Võ Nguyên Giáp, TP. Thái Bình, Thái Bình","Giá thấp nhất: 1,40 tỷ"
10,tai-thai-binh,Đất nền Green Park Hưng Hà Thái Bình,https://cafeland.vn/du-an/dat-nen-green-park-hung-ha-thai-binh-2603.html,Đất Nền Dự Án,"Địa chỉ: cao tốc Thái Hà, Hưng Hà, Thái Bình",Giá thấp nhất: 585 triệu
